"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2017 06:00:00 - 05/01/2017 07:00:00","BZN|DK1","Without Sequence","33.82","",""
"05/01/2017 07:00:00 - 05/01/2017 08:00:00","BZN|DK1","Without Sequence","37.21","",""
"05/01/2017 08:00:00 - 05/01/2017 09:00:00","BZN|DK1","Without Sequence","38.98","",""
"05/01/2017 09:00:00 - 05/01/2017 10:00:00","BZN|DK1","Without Sequence","39.01","",""
"05/01/2017 10:00:00 - 05/01/2017 11:00:00","BZN|DK1","Without Sequence","43.04","",""
"05/01/2017 11:00:00 - 05/01/2017 12:00:00","BZN|DK1","Without Sequence","44.54","",""
"05/01/2017 12:00:00 - 05/01/2017 13:00:00","BZN|DK1","Without Sequence","44.56","",""
"05/01/2017 13:00:00 - 05/01/2017 14:00:00","BZN|DK1","Without Sequence","44.66","",""
"05/01/2017 14:00:00 - 05/01/2017 15:00:00","BZN|DK1","Without Sequence","44.99","",""
"05/01/2017 15:00:00 - 05/01/2017 16:00:00","BZN|DK1","Without Sequence","56.10","",""
"05/01/2017 16:00:00 - 05/01/2017 17:00:00","BZN|DK1","Without Sequence","69.70","",""
"05/01/2017 17:00:00 - 05/01/2017 18:00:00","BZN|DK1","Without Sequence","73.92","",""
"05/01/2017 18:00:00 - 05/01/2017 19:00:00","BZN|DK1","Without Sequence","71.99","",""
"05/01/2017 19:00:00 - 05/01/2017 20:00:00","BZN|DK1","Without Sequence","50.08","",""
"05/01/2017 20:00:00 - 05/01/2017 21:00:00","BZN|DK1","Without Sequence","44.89","",""
"05/01/2017 21:00:00 - 05/01/2017 22:00:00","BZN|DK1","Without Sequence","42.05","",""
"05/01/2017 22:00:00 - 05/01/2017 23:00:00","BZN|DK1","Without Sequence","37.22","",""
"05/01/2017 23:00:00 - 06/01/2017 00:00:00","BZN|DK1","Without Sequence","33.53","",""
"06/01/2017 00:00:00 - 06/01/2017 01:00:00","BZN|DK1","Without Sequence","35.84","",""
"06/01/2017 01:00:00 - 06/01/2017 02:00:00","BZN|DK1","Without Sequence","35.54","",""
"06/01/2017 02:00:00 - 06/01/2017 03:00:00","BZN|DK1","Without Sequence","34.59","",""
"06/01/2017 03:00:00 - 06/01/2017 04:00:00","BZN|DK1","Without Sequence","34.28","",""
"06/01/2017 04:00:00 - 06/01/2017 05:00:00","BZN|DK1","Without Sequence","34.16","",""
"06/01/2017 05:00:00 - 06/01/2017 06:00:00","BZN|DK1","Without Sequence","32.59","",""
"06/01/2017 06:00:00 - 06/01/2017 07:00:00","BZN|DK1","Without Sequence","34.32","",""
"06/01/2017 07:00:00 - 06/01/2017 08:00:00","BZN|DK1","Without Sequence","33.97","",""
"06/01/2017 08:00:00 - 06/01/2017 09:00:00","BZN|DK1","Without Sequence","34.00","",""
"06/01/2017 09:00:00 - 06/01/2017 10:00:00","BZN|DK1","Without Sequence","32.50","",""
"06/01/2017 10:00:00 - 06/01/2017 11:00:00","BZN|DK1","Without Sequence","31.98","",""
"06/01/2017 11:00:00 - 06/01/2017 12:00:00","BZN|DK1","Without Sequence","31.45","",""
"06/01/2017 12:00:00 - 06/01/2017 13:00:00","BZN|DK1","Without Sequence","31.27","",""
"06/01/2017 13:00:00 - 06/01/2017 14:00:00","BZN|DK1","Without Sequence","30.86","",""
"06/01/2017 14:00:00 - 06/01/2017 15:00:00","BZN|DK1","Without Sequence","30.80","",""
"06/01/2017 15:00:00 - 06/01/2017 16:00:00","BZN|DK1","Without Sequence","30.57","",""
"06/01/2017 16:00:00 - 06/01/2017 17:00:00","BZN|DK1","Without Sequence","30.59","",""
"06/01/2017 17:00:00 - 06/01/2017 18:00:00","BZN|DK1","Without Sequence","30.90","",""
"06/01/2017 18:00:00 - 06/01/2017 19:00:00","BZN|DK1","Without Sequence","30.71","",""
"06/01/2017 19:00:00 - 06/01/2017 20:00:00","BZN|DK1","Without Sequence","30.37","",""
"06/01/2017 20:00:00 - 06/01/2017 21:00:00","BZN|DK1","Without Sequence","30.28","",""
"06/01/2017 21:00:00 - 06/01/2017 22:00:00","BZN|DK1","Without Sequence","30.08","",""
"06/01/2017 22:00:00 - 06/01/2017 23:00:00","BZN|DK1","Without Sequence","29.81","",""
"06/01/2017 23:00:00 - 07/01/2017 00:00:00","BZN|DK1","Without Sequence","29.01","",""
"07/01/2017 00:00:00 - 07/01/2017 01:00:00","BZN|DK1","Without Sequence","29.35","",""
"07/01/2017 01:00:00 - 07/01/2017 02:00:00","BZN|DK1","Without Sequence","27.32","",""
"07/01/2017 02:00:00 - 07/01/2017 03:00:00","BZN|DK1","Without Sequence","26.98","",""
"07/01/2017 03:00:00 - 07/01/2017 04:00:00","BZN|DK1","Without Sequence","26.93","",""
"07/01/2017 04:00:00 - 07/01/2017 05:00:00","BZN|DK1","Without Sequence","27.44","",""
"07/01/2017 05:00:00 - 07/01/2017 06:00:00","BZN|DK1","Without Sequence","28.64","",""
"07/01/2017 06:00:00 - 07/01/2017 07:00:00","BZN|DK1","Without Sequence","29.10","",""
"07/01/2017 07:00:00 - 07/01/2017 08:00:00","BZN|DK1","Without Sequence","29.49","",""
"07/01/2017 08:00:00 - 07/01/2017 09:00:00","BZN|DK1","Without Sequence","29.97","",""
"07/01/2017 09:00:00 - 07/01/2017 10:00:00","BZN|DK1","Without Sequence","30.51","",""
"07/01/2017 10:00:00 - 07/01/2017 11:00:00","BZN|DK1","Without Sequence","30.69","",""
"07/01/2017 11:00:00 - 07/01/2017 12:00:00","BZN|DK1","Without Sequence","30.74","",""
"07/01/2017 12:00:00 - 07/01/2017 13:00:00","BZN|DK1","Without Sequence","30.72","",""
"07/01/2017 13:00:00 - 07/01/2017 14:00:00","BZN|DK1","Without Sequence","30.70","",""
"07/01/2017 14:00:00 - 07/01/2017 15:00:00","BZN|DK1","Without Sequence","30.77","",""
"07/01/2017 15:00:00 - 07/01/2017 16:00:00","BZN|DK1","Without Sequence","30.92","",""
