"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2016 11:00:00 - 06/01/2016 12:00:00","BZN|DK1","Without Sequence","37.95","",""
"06/01/2016 12:00:00 - 06/01/2016 13:00:00","BZN|DK1","Without Sequence","37.37","",""
"06/01/2016 13:00:00 - 06/01/2016 14:00:00","BZN|DK1","Without Sequence","36.61","",""
"06/01/2016 14:00:00 - 06/01/2016 15:00:00","BZN|DK1","Without Sequence","29.75","",""
"06/01/2016 15:00:00 - 06/01/2016 16:00:00","BZN|DK1","Without Sequence","28.17","",""
"06/01/2016 16:00:00 - 06/01/2016 17:00:00","BZN|DK1","Without Sequence","28.23","",""
"06/01/2016 17:00:00 - 06/01/2016 18:00:00","BZN|DK1","Without Sequence","29.60","",""
"06/01/2016 18:00:00 - 06/01/2016 19:00:00","BZN|DK1","Without Sequence","28.19","",""
"06/01/2016 19:00:00 - 06/01/2016 20:00:00","BZN|DK1","Without Sequence","26.87","",""
"06/01/2016 20:00:00 - 06/01/2016 21:00:00","BZN|DK1","Without Sequence","24.87","",""
"06/01/2016 21:00:00 - 06/01/2016 22:00:00","BZN|DK1","Without Sequence","22.06","",""
"06/01/2016 22:00:00 - 06/01/2016 23:00:00","BZN|DK1","Without Sequence","20.47","",""
"06/01/2016 23:00:00 - 07/01/2016 00:00:00","BZN|DK1","Without Sequence","19.37","",""
"07/01/2016 00:00:00 - 07/01/2016 01:00:00","BZN|DK1","Without Sequence","21.94","",""
"07/01/2016 01:00:00 - 07/01/2016 02:00:00","BZN|DK1","Without Sequence","21.75","",""
"07/01/2016 02:00:00 - 07/01/2016 03:00:00","BZN|DK1","Without Sequence","21.50","",""
"07/01/2016 03:00:00 - 07/01/2016 04:00:00","BZN|DK1","Without Sequence","21.52","",""
"07/01/2016 04:00:00 - 07/01/2016 05:00:00","BZN|DK1","Without Sequence","21.60","",""
"07/01/2016 05:00:00 - 07/01/2016 06:00:00","BZN|DK1","Without Sequence","21.62","",""
"07/01/2016 06:00:00 - 07/01/2016 07:00:00","BZN|DK1","Without Sequence","22.16","",""
"07/01/2016 07:00:00 - 07/01/2016 08:00:00","BZN|DK1","Without Sequence","27.80","",""
"07/01/2016 08:00:00 - 07/01/2016 09:00:00","BZN|DK1","Without Sequence","30.48","",""
"07/01/2016 09:00:00 - 07/01/2016 10:00:00","BZN|DK1","Without Sequence","29.34","",""
"07/01/2016 10:00:00 - 07/01/2016 11:00:00","BZN|DK1","Without Sequence","29.27","",""
"07/01/2016 11:00:00 - 07/01/2016 12:00:00","BZN|DK1","Without Sequence","27.04","",""
"07/01/2016 12:00:00 - 07/01/2016 13:00:00","BZN|DK1","Without Sequence","28.44","",""
"07/01/2016 13:00:00 - 07/01/2016 14:00:00","BZN|DK1","Without Sequence","26.08","",""
"07/01/2016 14:00:00 - 07/01/2016 15:00:00","BZN|DK1","Without Sequence","24.85","",""
"07/01/2016 15:00:00 - 07/01/2016 16:00:00","BZN|DK1","Without Sequence","23.60","",""
"07/01/2016 16:00:00 - 07/01/2016 17:00:00","BZN|DK1","Without Sequence","23.00","",""
"07/01/2016 17:00:00 - 07/01/2016 18:00:00","BZN|DK1","Without Sequence","24.82","",""
"07/01/2016 18:00:00 - 07/01/2016 19:00:00","BZN|DK1","Without Sequence","22.90","",""
"07/01/2016 19:00:00 - 07/01/2016 20:00:00","BZN|DK1","Without Sequence","21.71","",""
"07/01/2016 20:00:00 - 07/01/2016 21:00:00","BZN|DK1","Without Sequence","21.25","",""
"07/01/2016 21:00:00 - 07/01/2016 22:00:00","BZN|DK1","Without Sequence","21.47","",""
"07/01/2016 22:00:00 - 07/01/2016 23:00:00","BZN|DK1","Without Sequence","21.22","",""
"07/01/2016 23:00:00 - 08/01/2016 00:00:00","BZN|DK1","Without Sequence","20.26","",""
"08/01/2016 00:00:00 - 08/01/2016 01:00:00","BZN|DK1","Without Sequence","12.12","",""
"08/01/2016 01:00:00 - 08/01/2016 02:00:00","BZN|DK1","Without Sequence","17.23","",""
"08/01/2016 02:00:00 - 08/01/2016 03:00:00","BZN|DK1","Without Sequence","13.90","",""
"08/01/2016 03:00:00 - 08/01/2016 04:00:00","BZN|DK1","Without Sequence","12.11","",""
"08/01/2016 04:00:00 - 08/01/2016 05:00:00","BZN|DK1","Without Sequence","12.99","",""
"08/01/2016 05:00:00 - 08/01/2016 06:00:00","BZN|DK1","Without Sequence","16.98","",""
"08/01/2016 06:00:00 - 08/01/2016 07:00:00","BZN|DK1","Without Sequence","22.02","",""
"08/01/2016 07:00:00 - 08/01/2016 08:00:00","BZN|DK1","Without Sequence","27.99","",""
"08/01/2016 08:00:00 - 08/01/2016 09:00:00","BZN|DK1","Without Sequence","27.98","",""
"08/01/2016 09:00:00 - 08/01/2016 10:00:00","BZN|DK1","Without Sequence","26.60","",""
"08/01/2016 10:00:00 - 08/01/2016 11:00:00","BZN|DK1","Without Sequence","25.55","",""
"08/01/2016 11:00:00 - 08/01/2016 12:00:00","BZN|DK1","Without Sequence","25.76","",""
"08/01/2016 12:00:00 - 08/01/2016 13:00:00","BZN|DK1","Without Sequence","25.13","",""
"08/01/2016 13:00:00 - 08/01/2016 14:00:00","BZN|DK1","Without Sequence","25.58","",""
"08/01/2016 14:00:00 - 08/01/2016 15:00:00","BZN|DK1","Without Sequence","27.60","",""
"08/01/2016 15:00:00 - 08/01/2016 16:00:00","BZN|DK1","Without Sequence","30.81","",""
"08/01/2016 16:00:00 - 08/01/2016 17:00:00","BZN|DK1","Without Sequence","35.97","",""
"08/01/2016 17:00:00 - 08/01/2016 18:00:00","BZN|DK1","Without Sequence","43.56","",""
"08/01/2016 18:00:00 - 08/01/2016 19:00:00","BZN|DK1","Without Sequence","45.47","",""
"08/01/2016 19:00:00 - 08/01/2016 20:00:00","BZN|DK1","Without Sequence","38.81","",""
"08/01/2016 20:00:00 - 08/01/2016 21:00:00","BZN|DK1","Without Sequence","28.57","",""
"08/01/2016 21:00:00 - 08/01/2016 22:00:00","BZN|DK1","Without Sequence","25.09","",""
"08/01/2016 22:00:00 - 08/01/2016 23:00:00","BZN|DK1","Without Sequence","24.32","",""
"08/01/2016 23:00:00 - 09/01/2016 00:00:00","BZN|DK1","Without Sequence","22.66","",""
