Target ceiling (kWh),Target ceiling (%),Expected cost (€),Expected charging (€),Expected penalty (€),Expected penalty min,Expected energy charged (kWh)
33.0,0.825,0.6417137822750164,0.4337004043720903,0.20801337790292582,0.012480802674175557,32.65363040801717
33.5,0.8375,0.6499523835587918,0.4457008998097584,0.2042514837490331,0.012255089024941993,33.15150262827984
34.0,0.85,0.6586570073996175,0.45801074924674545,0.20064625815287182,0.012038775489172317,33.64691061443766
34.5,0.8625,0.6679112068468787,0.47051834967089745,0.19739285717598098,0.011843571430558865,34.15056667474687
35.0,0.875,0.6776318965555573,0.48346315974151655,0.19416873681404065,0.011650124208842445,34.65171921060659
35.5,0.8875,0.687907742749753,0.49666156241117104,0.1912461803385819,0.011474770820314915,35.15028669776296
36.0,0.9,0.6985058902154285,0.5101341912474118,0.18837169896801653,0.011302301938081002,35.64670034943143
36.5,0.9125,0.709478501591529,0.523824602851993,0.18565389873953567,0.011139233924372143,36.148486322827374
37.0,0.925,0.7209997789171383,0.537912094732354,0.18308768418478405,0.010985261051087047,36.65152713523678
37.5,0.9375,0.7328694529390364,0.5523356275682085,0.1805338253708277,0.010832029522249664,37.15043947920017
38.0,0.95,0.7451311923366988,0.5669758027797005,0.17815538955699808,0.010689323373419893,37.64706652773303
38.5,0.9625,0.7576705347509308,0.5818412556990287,0.17582927905190202,0.010549756743114124,38.147550378834744
39.0,0.975,0.7706985892215321,0.5971423492833302,0.17355623993820188,0.010413374396292122,38.65117386223698
39.5,0.9875,0.7841425301820957,0.6127532582098228,0.1713892719722728,0.010283356318336377,39.150543792044004
40.0,1.0,0.7979021140061038,0.6286186757219848,0.1692834382841187,0.010157006297047131,39.64800978557601
