"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2015 12:00:00 - 04/01/2015 13:00:00","BZN|DK1","Without Sequence","27.08","",""
"04/01/2015 13:00:00 - 04/01/2015 14:00:00","BZN|DK1","Without Sequence","26.33","",""
"04/01/2015 14:00:00 - 04/01/2015 15:00:00","BZN|DK1","Without Sequence","27.42","",""
"04/01/2015 15:00:00 - 04/01/2015 16:00:00","BZN|DK1","Without Sequence","28.37","",""
"04/01/2015 16:00:00 - 04/01/2015 17:00:00","BZN|DK1","Without Sequence","28.65","",""
"04/01/2015 17:00:00 - 04/01/2015 18:00:00","BZN|DK1","Without Sequence","28.94","",""
"04/01/2015 18:00:00 - 04/01/2015 19:00:00","BZN|DK1","Without Sequence","29.59","",""
"04/01/2015 19:00:00 - 04/01/2015 20:00:00","BZN|DK1","Without Sequence","29.42","",""
"04/01/2015 20:00:00 - 04/01/2015 21:00:00","BZN|DK1","Without Sequence","28.92","",""
"04/01/2015 21:00:00 - 04/01/2015 22:00:00","BZN|DK1","Without Sequence","28.66","",""
"04/01/2015 22:00:00 - 04/01/2015 23:00:00","BZN|DK1","Without Sequence","29.03","",""
"04/01/2015 23:00:00 - 05/01/2015 00:00:00","BZN|DK1","Without Sequence","27.68","",""
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|DK1","Without Sequence","28.19","",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|DK1","Without Sequence","28.15","",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|DK1","Without Sequence","28.13","",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|DK1","Without Sequence","28.05","",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|DK1","Without Sequence","28.04","",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|DK1","Without Sequence","27.01","",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|DK1","Without Sequence","27.60","",""
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|DK1","Without Sequence","33.62","",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|DK1","Without Sequence","38.15","",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|DK1","Without Sequence","41.51","",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|DK1","Without Sequence","40.46","",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|DK1","Without Sequence","40.97","",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|DK1","Without Sequence","40.72","",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|DK1","Without Sequence","41.92","",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|DK1","Without Sequence","42.00","",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|DK1","Without Sequence","43.10","",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|DK1","Without Sequence","46.70","",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|DK1","Without Sequence","56.78","",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|DK1","Without Sequence","58.84","",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|DK1","Without Sequence","49.23","",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|DK1","Without Sequence","44.32","",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|DK1","Without Sequence","35.86","",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|DK1","Without Sequence","32.56","",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|DK1","Without Sequence","30.03","",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|DK1","Without Sequence","30.02","",""
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|DK1","Without Sequence","29.81","",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|DK1","Without Sequence","29.41","",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|DK1","Without Sequence","27.89","",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|DK1","Without Sequence","27.89","",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|DK1","Without Sequence","28.01","",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|DK1","Without Sequence","29.67","",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|DK1","Without Sequence","30.03","",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|DK1","Without Sequence","30.50","",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|DK1","Without Sequence","30.35","",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|DK1","Without Sequence","30.53","",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|DK1","Without Sequence","29.91","",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|DK1","Without Sequence","29.62","",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|DK1","Without Sequence","29.58","",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|DK1","Without Sequence","29.57","",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|DK1","Without Sequence","29.62","",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|DK1","Without Sequence","29.99","",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|DK1","Without Sequence","29.65","",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|DK1","Without Sequence","29.58","",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|DK1","Without Sequence","29.00","",""
